COD_ESC;NOME_ESCOLA;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO;EJA FUNDAMENTAL_AI;EJA ENSINO MÉDIO;EJA FUNDAMENTAL_AF
103;JOAO BOEMER JARDIM PROFESSOR;0;0;0;1028;0;0;0;0;0
139;MARIANO DE OLIVEIRA PROFESSOR;0;0;0;0;269;1093;0;332;0
197;AGENOR COUTO DE MAGALHAES DOUTOR;0;0;0;0;212;469;0;174;0
206;ALIPIO DE BARROS PROFESSOR;0;21;0;533;0;0;0;0;0
218;ANTONIO FRANCISCO REDONDO PROFESSOR;0;0;0;0;0;860;0;0;0
231;CHIQUINHA RODRIGUES;0;28;0;914;0;0;0;0;0
243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;0;26;0;454;0;0;0;0;0
255;CLODOMIRO CARNEIRO;0;0;0;0;339;65;0;0;0
620;ANTONIO EMILIO SOUZA PENNA PROFESSOR;0;0;0;0;317;106;0;0;0
37102;MARTIN EGIDIO DAMY;0;0;0;0;0;647;0;128;0
37643;ANTONIO CARLOS FERREIRA NOBRE PROFESSOR;0;0;0;0;386;0;0;0;0
37679;EDGARD PIMENTEL REZENDE PROFESSOR;0;0;0;0;422;483;0;0;0
37692;ANA SIQUEIRA DA SILVA;0;0;0;0;289;211;0;0;0
41683;OTTO DE BARROS VIDAL PROFESSOR;0;0;0;696;0;0;0;0;0
48598;PAULO TRAJANO DA SILVEIRA SANTOS PROFESSOR;0;7;0;443;0;0;0;0;0
72503;ELIZABETH APARECIDA SIMOES MESQUITA PROFESSORA;0;0;0;0;342;134;0;0;0
130321;THAYANE LUZIMARA COSTA VALCACER PROFESSORA;0;0;0;292;294;341;0;178;0
269359;MARIA HELENA GONCALVES DE ARRUDA PROFESSORA;0;0;0;0;361;835;0;1;0
923618;EULICE SILVIO MENDONCA DA SILVA PROFESSORA;0;0;0;952;0;0;0;0;0
924398;JARDIM CANAA;0;0;0;297;0;298;0;0;0
924726;REGIANE DO CARMO MONTEIRO PROFESSORA;0;0;0;530;0;0;0;0;0
449;TAUNAY VISCONDE DE;0;0;0;471;0;0;0;0;0
462;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;0;0;0;0;270;140;0;0;0
590;PAULO SETUBAL;0;35;0;581;0;0;0;0;0
681;TOLEDO BARBOSA;0;11;0;420;315;0;0;0;0
848;JOAQUIM LEME DO PRADO PROFESSOR;0;0;0;0;491;642;0;228;0
899;PEDRO COSTA DEPUTADO;0;0;0;297;0;0;0;0;0
929;ANTONIO VIEIRA PADRE;0;0;0;0;0;599;0;0;0
1478;EDUARDO PRADO;0;0;0;532;593;0;0;0;0
1521;PAULO LUIG FREI;0;0;0;483;378;0;0;0;0
1659;ANCHIETA PADRE;0;0;0;0;594;593;0;0;0
3475;JOSE CANDIDO DE SOUZA;0;0;0;0;276;0;0;0;0
3487;ARTHUR GUIMARAES;0;0;0;530;0;0;0;0;0
3852;CAETANO DE CAMPOS CONSOLACAO;0;0;0;0;268;238;0;0;0
918994;PAULO MACHADO DE CARVALHO;0;0;0;328;0;0;0;0;0
483485;CENTRO DE ATEND SOCIO EDUC AO ADOLESC RUTH PISTORI CIP;0;0;0;0;0;0;0;0;0
559684;CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTE RIO PARANA CI;0;0;0;0;40;35;0;0;0
371;ANTONIO JOSE LEITE PROF;0;0;0;0;270;1096;0;0;0
425;REPUBLICA DO CHILE;0;0;0;734;0;0;0;0;0
607;TITO PRATES DA FONSECA;0;0;0;0;520;730;0;295;0
863;JOSE MARCELINO DA FONSECA MAJOR;0;8;0;370;0;0;0;0;0
875;CASTRO ALVES;0;15;0;0;334;437;0;0;0
1004;EURICO FIGUEIREDO PROF;0;17;0;0;335;186;0;0;0
1119;EURIPEDES DE CASTRO;0;8;0;608;0;0;0;0;0
1132;PEDRO ALEXANDRINO;0;5;0;0;452;515;0;0;0
1144;JULIO PESTANA;0;0;0;0;512;787;0;0;0
1156;SILVA JARDIM;0;0;0;0;535;685;0;467;0
1173;ALBINO CESAR;0;23;0;0;452;1313;0;0;0
1181;RAFAEL DE MORAES LIMA PROF;0;33;0;735;0;0;0;0;0
1193;PHILOMENA BAYLAO PROFA;0;13;0;442;362;275;0;0;0
1272;ANGELO BORTOLO;0;6;0;0;341;156;0;0;0
1296;CARMOSINA MONTEIRO VIANNA PROFA;0;0;0;0;470;522;0;0;0
37795;JUSTINO CARDOSO DR;0;14;0;0;517;540;0;0;0
48616;JOAO BAPTISTA ALVES SILVA PROF;0;33;0;0;517;306;0;0;0
579476;SOCRATES BRASILEIRO SAMPAIO DE SOUZA VIEIRA DE OLIVEIRA;0;5;0;212;0;0;0;0;0
906153;TEREZINE ARANTES FERRAZ BIBLIOTECARIA;0;25;0;1300;0;0;0;0;0
906803;LEONIDAS PAIVA PROF;0;2;0;0;261;61;0;0;0
915658;MARLY DIVA BONFANTI PROFA;0;12;0;333;395;0;0;0;0
458314;CEL JTO A EE VERIDIANA CAMACHO CARVALHO GOMES PROFA;0;0;0;0;0;0;0;0;0
673;PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR;0;0;0;0;647;620;0;0;0
747;MARIA MONTESSORI;0;0;0;0;316;439;0;0;0
838;JOAO VIEIRA DE ALMEIDA;0;0;0;0;482;743;0;300;0
851;JULIO MAIA;0;15;0;544;0;0;0;0;0
1375;LOUREIRO JUNIOR PROFESSOR;0;20;0;0;101;64;0;0;0
1430;ANDRE OHL;0;0;0;474;0;0;0;0;0
1442;ANDRE XAVIER GALLICHO PROFESSOR;0;10;0;216;182;262;0;0;0
1485;GUERINO RASO;0;8;0;307;0;0;0;0;0
1491;ANNA TEIXEIRA PRADO ZACHARIAS PROFESSORA;0;14;0;0;361;0;0;0;0
1740;STEFAN ZWEIG;0;0;0;0;276;124;0;0;0
1776;SECUNDINO DOMINGUES FILHO DOUTOR;0;0;0;254;261;180;0;0;0
