Distrito,Ano Semestre,EI,CE,SR,AI,AF,EM,EJAFAI,EJAFAF,EJAEM
CENTRO,2019: Semestre 1,0.0,2.8133333333333335,0.0,213.16,174.94666666666666,162.49333333333334,0.7333333333333333,23.746666666666666,0.8533333333333334
CAMPINAS OESTE,2019: Semestre 1,0.0,4.11,0.0,279.98,239.05,210.74,0.99,24.44,1.66
MAUA,2019: Semestre 1,0.0,4.490566037735849,0.0,258.0188679245283,233.43396226415095,162.25471698113208,0.02830188679245283,17.971698113207548,7.660377358490566
NORTE 2,2019: Semestre 1,0.0,10.41095890410959,0.0,326.013698630137,230.73972602739727,221.15068493150685,0.0,46.56164383561644,0.0
NORTE 1,2019: Semestre 1,0.0,4.018867924528302,0.0,276.9339622641509,212.12264150943398,286.16037735849056,0.0,63.16981132075472,0.0
LESTE 5,2019: Semestre 1,0.0,2.7865168539325844,0.0,198.7191011235955,165.92134831460675,229.42696629213484,0.3258426966292135,24.078651685393258,0.7191011235955056
LESTE 1,2019: Semestre 1,0.0,2.318681318681319,0.0,317.46153846153845,240.34065934065933,239.03296703296704,0.0,28.406593406593405,1.032967032967033
CENTRO SUL,2019: Semestre 1,0.0,7.0131578947368425,0.0,241.9078947368421,197.47368421052633,184.89473684210526,0.0,38.1578947368421,0.0
SAO JOSE DOS CAMPOS,2019: Semestre 1,0.0,2.734375,0.0,126.5625,205.640625,291.65625,0.1875,32.859375,0.234375
LESTE 4,2019: Semestre 1,0.0,2.5822784810126582,0.0,272.40506329113924,215.9746835443038,248.51898734177215,0.0,71.88607594936708,0.0
LESTE 2,2019: Semestre 1,0.0,3.126315789473684,0.0,325.7368421052632,253.44210526315788,268.93684210526317,0.0,48.589473684210525,0.3368421052631579
LESTE 3,2019: Semestre 1,0.0,3.282051282051282,0.0,333.71794871794873,252.0897435897436,296.6794871794872,0.0,64.98717948717949,0.0
CENTRO OESTE,2019: Semestre 1,0.0,2.8518518518518516,0.0,176.98765432098764,148.7283950617284,200.41975308641975,0.6296296296296297,29.901234567901234,0.8641975308641975
SUL 3,2019: Semestre 1,0.0,2.0090909090909093,0.0,323.2,310.09090909090907,243.8,0.08181818181818182,43.472727272727276,0.6818181818181818
